model,split,condition,n,success_reported,success_json_tolerant,success_official_strict,reported_convention,official_method,row_file,source_files
72B,ood_single_family,g_memory,924,0.2078,0.2078,0.0985,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/gmemory.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/gmemory.jsonl
72B,ood_single_family,memento_style,924,0.0628,0.0628,0.0628,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-72b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment11/memento_fold_clear_table_with_two_robots_and_put_in_cabinet.jsonl;results/viki_memory_experiments/amendment11/memento_fold_cut_fruit_on_board.jsonl;results/viki_memory_experiments/amendment11/memento_fold_cut_two_fruits_on_board.jsonl;results/viki_memory_experiments/amendment11/memento_fold_dog_push_box_for_two_panda_transport.jsonl;results/viki_memory_experiments/amendment11/memento_fold_ensure_all_fruits_on_table.jsonl;results/viki_memory_experiments/amendment11/memento_fold_parallel_human_dual_asset_to_plate_or_bowl.jsonl;results/viki_memory_experiments/amendment11/memento_fold_set_plate_and_fork_on_table.jsonl;results/viki_memory_experiments/amendment11/memento_fold_toast_bread_and_set_plate.jsonl
72B,pure_text,ours,297,0.8620,0.8620,0.8620,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-72b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_72B_text.jsonl
72B,pure_text,tom,297,0.0034,0.0034,0.0034,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-72b-instruct/pure_text.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-72b-instruct/pure_text/rows.jsonl
72B,pure_text,zero_shot,297,0.0034,0.0034,0.0034,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-72b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/zero_shot.jsonl
72B,pure_text,trajectory_rag,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-72b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/trajectory_rag.jsonl
72B,pure_text,g_memory,297,0.0337,0.0337,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-72b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/gmemory.jsonl
72B,pure_text,memento_style,297,0.1010,0.1010,0.1010,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-72b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment11/memento_recomb_text.jsonl
72B,cg_image,ours,297,0.7980,0.7980,0.7980,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-72b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_72B_imaged.jsonl
72B,cg_image,tom,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-72b-instruct/cg_image.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-72b-instruct/cg_image/rows.jsonl
72B,cg_image,zero_shot,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-72b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/zero_shot.jsonl
72B,cg_image,trajectory_rag,297,0.0067,0.0067,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-72b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/trajectory_rag.jsonl
72B,cg_image,g_memory,297,0.0471,0.0471,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-72b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/gmemory.jsonl
72B,cg_image,memento_style,297,0.0168,0.0168,0.0168,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-72b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment11/memento_recomb_imaged.jsonl
30B,id,ours,924,0.5736,0.5736,0.5736,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen3-vl-30b-a3b-instruct/id.jsonl,results/viki_memory_experiments/amendment11/v3_ours_30B_id.jsonl
30B,id,tom,924,0.0022,0.0022,0.0022,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen3-vl-30b-a3b-instruct/id.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen3-vl-30b-a3b-instruct/id/rows.jsonl
30B,id,zero_shot,924,0.0043,0.0043,0.0043,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen3-vl-30b-a3b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/zero_shot.m30.jsonl
30B,id,trajectory_rag,924,0.0823,0.0823,0.0823,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen3-vl-30b-a3b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/trajectory_rag.m30.jsonl
30B,id,g_memory,924,0.1526,0.1526,0.1169,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen3-vl-30b-a3b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/gmemory.m30.jsonl
30B,id,memento_style,924,0.2078,0.2078,0.2078,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen3-vl-30b-a3b-instruct/id.jsonl,results/viki_memory_experiments/amendment11/memento_id_m30.jsonl
30B,ood_single_family,ours,924,0.3539,0.3539,0.3539,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment11/v3_fold_30B_clear_table_with_two_robots_and_put_in_cabinet.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_cut_fruit_on_board.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_cut_two_fruits_on_board.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_dog_push_box_for_two_panda_transport.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_ensure_all_fruits_on_table.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_parallel_human_dual_asset_to_plate_or_bowl.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_set_plate_and_fork_on_table.jsonl;results/viki_memory_experiments/amendment11/v3_fold_30B_toast_bread_and_set_plate.jsonl
30B,ood_single_family,tom,924,0.0032,0.0032,0.0032,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen3-vl-30b-a3b-instruct/ood_single_family/rows.jsonl
30B,ood_single_family,zero_shot,924,0.0076,0.0076,0.0076,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/zero_shot.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/zero_shot.m30.jsonl
30B,ood_single_family,trajectory_rag,924,0.0541,0.0541,0.0541,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/trajectory_rag.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/trajectory_rag.m30.jsonl
30B,ood_single_family,g_memory,924,0.1494,0.1494,0.1494,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/gmemory.m30.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/gmemory.m30.jsonl
30B,ood_single_family,memento_style,924,0.1126,0.1126,0.1126,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen3-vl-30b-a3b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment11/memento_fold_m30_clear_table_with_two_robots_and_put_in_cabinet.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_cut_fruit_on_board.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_cut_two_fruits_on_board.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_dog_push_box_for_two_panda_transport.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_ensure_all_fruits_on_table.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_parallel_human_dual_asset_to_plate_or_bowl.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_set_plate_and_fork_on_table.jsonl;results/viki_memory_experiments/amendment11/memento_fold_m30_toast_bread_and_set_plate.jsonl
30B,pure_text,ours,297,0.7239,0.7239,0.7239,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_30B_text.jsonl
30B,pure_text,tom,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen3-vl-30b-a3b-instruct/pure_text/rows.jsonl
30B,pure_text,zero_shot,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/zero_shot.m30.jsonl
30B,pure_text,trajectory_rag,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/trajectory_rag.m30.jsonl
30B,pure_text,g_memory,297,0.0101,0.0101,0.0101,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment10/text/gmemory.m30.jsonl
30B,pure_text,memento_style,297,0.1145,0.1145,0.1145,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen3-vl-30b-a3b-instruct/pure_text.jsonl,results/viki_memory_experiments/amendment11/memento_recomb_text_m30.jsonl
30B,cg_image,ours,297,0.6498,0.6498,0.6498,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment11/v3_oursall_30B_imaged.jsonl
30B,cg_image,tom,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen3-vl-30b-a3b-instruct/cg_image/rows.jsonl
30B,cg_image,zero_shot,297,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/zero_shot.m30.jsonl
30B,cg_image,trajectory_rag,297,0.0067,0.0067,0.0067,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/trajectory_rag.m30.jsonl
30B,cg_image,g_memory,297,0.0034,0.0034,0.0034,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment10/imaged/gmemory.m30.jsonl
30B,cg_image,memento_style,297,0.0640,0.0640,0.0640,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen3-vl-30b-a3b-instruct/cg_image.jsonl,results/viki_memory_experiments/amendment11/memento_recomb_imaged_m30.jsonl
7B,id,ours,924,0.1385,0.1385,0.1385,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-7b-instruct/id.jsonl,results/viki_memory_experiments/amendment11/v3_ours_7B_id.jsonl
7B,id,tom,924,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-7b-instruct/id.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-7b-instruct/id/rows.jsonl
7B,id,zero_shot,924,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-7b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/zero_shot.m7.jsonl
7B,id,trajectory_rag,924,0.0011,0.0011,0.0011,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-7b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/trajectory_rag.m7.jsonl
7B,id,g_memory,924,0.0768,0.0768,0.0747,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-7b-instruct/id.jsonl,results/viki_memory_experiments/amendment8b/gmemory.m7.jsonl
7B,id,memento_style,924,0.0400,0.0400,0.0400,json_tolerant,recomputed: viki_bench.score_response(official viki_2) on raw_output,results/paper_viki_iclr2027/rows/figure2/memento_style/qwen2.5-vl-7b-instruct/id.jsonl,results/viki_memory_experiments/amendment11/memento_id_m7.jsonl
7B,ood_single_family,ours,924,0.1169,0.1169,0.1169,simulator_solved,identity: SOLVED == official acc_reward on planner plan,results/paper_viki_iclr2027/rows/figure2/ours/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment11/v3_fold_7B_clear_table_with_two_robots_and_put_in_cabinet.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_cut_fruit_on_board.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_cut_two_fruits_on_board.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_dog_push_box_for_two_panda_transport.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_ensure_all_fruits_on_table.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_parallel_human_dual_asset_to_plate_or_bowl.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_set_plate_and_fork_on_table.jsonl;results/viki_memory_experiments/amendment11/v3_fold_7B_toast_bread_and_set_plate.jsonl
7B,ood_single_family,tom,924,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/tom/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,results/paper_viki_iclr2027/raw/figure2_tom/qwen2.5-vl-7b-instruct/ood_single_family/rows.jsonl
7B,ood_single_family,zero_shot,924,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/zero_shot/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/zero_shot.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/zero_shot.m7.jsonl
7B,ood_single_family,trajectory_rag,924,0.0000,0.0000,0.0000,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/trajectory_rag/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/trajectory_rag.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/trajectory_rag.m7.jsonl
7B,ood_single_family,g_memory,924,0.0455,0.0455,0.0455,json_tolerant,archived task_score (verified by recompute),results/paper_viki_iclr2027/rows/figure2/g_memory/qwen2.5-vl-7b-instruct/ood_single_family.jsonl,results/viki_memory_experiments/amendment8b/folds/clear_table_with_two_robots_and_put_in_cabinet/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_fruit_on_board/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/cut_two_fruits_on_board/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/dog_push_box_for_two_panda_transport/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/ensure_all_fruits_on_table/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/parallel_human_dual_asset_to_plate_or_bowl/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/set_plate_and_fork_on_table/gmemory.m7.jsonl;results/viki_memory_experiments/amendment8b/folds/toast_bread_and_set_plate/gmemory.m7.jsonl
