model,split,index,task_name,reask,full_solved,full_replay_solved,first_turn_solved,archived_reason,first_turn_reason
72B,id,78,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,81,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,87,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,94,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,95,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,96,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,97,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,98,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,99,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,100,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,102,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,103,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,105,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,107,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,109,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,110,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,111,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,115,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,117,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,118,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,119,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,120,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,121,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,122,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,125,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,127,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,128,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,129,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,131,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,132,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,134,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,137,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,138,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,140,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,141,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,142,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,144,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,145,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,146,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,147,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,148,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,149,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,151,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,152,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,155,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,156,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,163,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,164,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,165,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,166,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,167,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,168,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,171,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,172,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,173,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,174,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,175,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,176,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,177,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,178,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,179,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,180,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,181,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,182,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,184,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,186,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,188,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,190,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,196,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,197,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,198,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,199,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,200,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,204,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,205,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,206,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,207,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,209,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,211,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,213,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,214,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,215,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,216,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,218,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,221,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,222,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,223,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,224,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,227,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,228,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,229,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,230,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,233,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,235,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,236,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,237,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,240,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,241,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,242,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,248,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,249,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,251,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,253,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,254,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,255,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,258,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,261,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,267,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,269,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,270,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,271,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,272,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,275,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,277,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,278,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,279,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,280,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,283,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,284,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,287,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,293,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,295,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,296,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,297,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,298,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,299,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,302,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,303,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,311,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,313,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,315,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,316,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,317,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,318,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,323,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,324,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,325,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,329,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,330,ensure_all_fruits_on_table,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,334,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,339,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,340,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,344,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,345,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,346,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,347,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,348,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,349,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,352,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,353,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,358,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,359,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,360,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,361,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,362,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,364,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,365,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,366,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,367,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,368,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,372,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,375,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,376,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,378,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,381,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,382,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,383,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,391,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,392,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,393,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,394,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,395,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,397,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,398,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,401,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,402,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,404,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,406,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,407,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,409,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,410,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,412,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,416,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,421,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,422,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,423,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,424,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,426,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,428,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,430,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,434,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,436,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,437,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,439,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,440,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,443,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,447,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,451,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,452,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,454,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,458,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,459,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,462,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,466,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,472,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,474,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,475,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,476,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,478,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,479,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,480,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,481,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,484,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,485,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,486,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,487,dog_push_box_for_two_panda_transport,1,0,0,0,infeasible_assignment,infeasible_assignment
72B,id,489,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,494,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,496,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,497,cut_fruit_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,498,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,501,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,502,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,503,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,504,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,507,cut_two_fruits_on_board,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,510,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,512,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,513,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,515,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,516,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,517,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,519,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,520,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,525,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,531,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,532,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,536,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,537,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,539,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,541,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,544,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,545,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,546,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,548,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,549,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,551,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,552,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,555,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,559,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,561,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,562,ensure_all_fruits_on_table,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,563,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,564,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,566,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,569,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,570,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,571,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,572,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,573,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,576,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,578,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,579,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,581,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,582,ensure_all_fruits_on_table,0,0,0,0,GOAL_UNMET,GOAL_UNMET
72B,id,584,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,586,ensure_all_fruits_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,587,cut_fruit_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,592,parallel_human_dual_asset_to_plate_or_bowl,0,1,1,1,SOLVED,SOLVED
72B,id,594,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,596,toast_bread_and_set_plate,0,0,0,0,OVER_BUDGET,OVER_BUDGET
72B,id,598,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
72B,id,600,cut_two_fruits_on_board,0,1,1,1,SOLVED,SOLVED
72B,id,601,set_plate_and_fork_on_table,0,1,1,1,SOLVED,SOLVED
72B,id,602,clear_table_with_two_robots_and_put_in_cabinet,0,1,1,1,SOLVED,SOLVED
