split,index,task_name,ordered_units,unit_kinds,plan_length,object_count,action_skeleton,full_signature
train,12,cut_fruit_on_board,"[""fetch(knife)"",""fetch(peach)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Reach"",""Place""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,13,toast_bread_and_set_plate,"[""fetch(bread)"",""fetch(plate)"",""relocate(bread,toaster)"",""relocate(plate,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""state_change"",""multi_object_sequence""]",6,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""],[""Interact""]]","{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(plate)"",""relocate(bread,toaster)"",""relocate(plate,kitchen work area)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}"
train,14,serve_bread_after_checking_cabinet,"[""state_change(open,cabinet)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)""]","[""state_change"",""fetch"",""open_container_then_retrieve"",""relocate""]",8,1,"[[""Move""],[""Reach""],[""Open""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)""],""plan_length"":8}"
train,15,ensure_all_fruits_on_table,"[""state_change(open,cabinet)"",""fetch(banana)"",""relocate(banana,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""state_change"",""fetch"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Open"",""Grasp""],[""Move"",""Move""],[""Reach"",""Place""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(banana)"",""relocate(banana,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,16,dog_push_box_for_two_panda_transport,"[""fetch(pumpkin)"",""state_change(push,cardboardbox,R1)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R2)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""]","[""fetch"",""state_change"",""relocate"",""state_change"",""fetch"",""relocate""]",7,1,"[[""Reach"",""Move""],[""Grasp"",""Push""],[""Place""],[""Push""],[""Reach""],[""Grasp""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(pumpkin)"",""state_change(push,cardboardbox,R1)"",""relocate(pumpkin,cardboardbox)"",""state_change(push,cardboardbox,R2)"",""fetch(pumpkin)"",""relocate(pumpkin,sink)""],""plan_length"":7}"
train,17,set_plate_and_fork_on_table,"[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Open""],[""Move"",""Move""],[""Place"",""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,18,wash_fruit_and_serve,"[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,bowl)""]","[""fetch"",""relocate"",""state_change"",""fetch"",""check_then_act"",""relocate""]",11,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""],[""Interact""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,bowl)""],""plan_length"":11}"
train,19,single_move_asset_to_target,"[""fetch(plate)"",""relocate(plate,rack)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(plate)"",""relocate(plate,rack)""],""plan_length"":5}"
train,20,ensure_all_fruits_on_table,"[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""]","[""state_change"",""fetch"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Open"",""Grasp""],[""Move"",""Move""],[""Reach"",""Place""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,21,wash_fruit_and_serve,"[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,bowl)""]","[""fetch"",""relocate"",""state_change"",""fetch"",""check_then_act"",""relocate""]",11,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""],[""Interact""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,bowl)""],""plan_length"":11}"
train,22,single_move_asset_to_target,"[""fetch(wine)"",""relocate(wine,kitchen island area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(wine)"",""relocate(wine,kitchen island area)""],""plan_length"":5}"
train,23,single_move_asset_to_target,"[""fetch(kettle)"",""relocate(kettle,kitchen island area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(kettle)"",""relocate(kettle,kitchen island area)""],""plan_length"":5}"
train,24,cut_fruit_on_board,"[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Reach""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,25,wash_fruit_and_serve,"[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,bowl)""]","[""fetch"",""relocate"",""state_change"",""fetch"",""check_then_act"",""relocate""]",11,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""],[""Interact""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,bowl)""],""plan_length"":11}"
train,26,cut_fruit_on_board,"[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Reach""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,27,parallel_human_dual_asset_to_plate_or_bowl,"[""fetch(pumpkin)"",""fetch(tomato)"",""relocate(pumpkin,plate)"",""relocate(tomato,plate)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",5,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(pumpkin)"",""fetch(tomato)"",""relocate(pumpkin,plate)"",""relocate(tomato,plate)"",""multi_object_sequence(2)""],""plan_length"":5}"
train,28,single_move_asset_to_target,"[""fetch(pumpkin)"",""relocate(pumpkin,kitchen island area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(pumpkin)"",""relocate(pumpkin,kitchen island area)""],""plan_length"":5}"
train,29,ensure_all_fruits_on_table,"[""fetch(banana)"",""state_change(open,cabinet)"",""relocate(banana,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Open""],[""Move"",""Move""],[""Place"",""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(banana)"",""state_change(open,cabinet)"",""relocate(banana,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,30,cut_fruit_on_board,"[""fetch(knife)"",""fetch(peach)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Reach"",""Place""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,31,sequential_pick_two_and_place,"[""fetch(meat)"",""fetch(bread)"",""relocate(meat,plate)"",""relocate(bread,plate)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(meat)"",""fetch(bread)"",""relocate(meat,plate)"",""relocate(bread,plate)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,32,parallel_human_dual_asset_to_plate_or_bowl,"[""fetch(apple)"",""fetch(pear)"",""relocate(apple,bowl)"",""relocate(pear,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",5,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(pear)"",""relocate(apple,bowl)"",""relocate(pear,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}"
train,33,single_move_asset_to_target,"[""fetch(wine)"",""relocate(wine,rack)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(wine)"",""relocate(wine,rack)""],""plan_length"":5}"
train,34,toast_bread_and_set_plate,"[""fetch(bowl)"",""fetch(bread)"",""relocate(bowl,kitchen island area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""state_change"",""multi_object_sequence""]",6,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""],[""Interact""]]","{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""fetch(bread)"",""relocate(bowl,kitchen island area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}"
train,35,single_move_asset_to_target,"[""fetch(pumpkin)"",""relocate(pumpkin,kitchen work area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(pumpkin)"",""relocate(pumpkin,kitchen work area)""],""plan_length"":5}"
train,36,wash_fruit_and_serve,"[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""]","[""fetch"",""relocate"",""state_change"",""fetch"",""check_then_act"",""relocate""]",11,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""],[""Interact""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}"
train,37,single_move_asset_to_target,"[""fetch(pear)"",""relocate(pear,rack)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(pear)"",""relocate(pear,rack)""],""plan_length"":5}"
train,38,ensure_all_fruits_on_table,"[""fetch(tomato)"",""relocate(tomato,table)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,table)""],""plan_length"":5}"
train,39,wash_fruit_and_serve,"[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,bowl)""]","[""fetch"",""relocate"",""state_change"",""fetch"",""check_then_act"",""relocate""]",11,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""],[""Interact""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,sink)"",""state_change(interact,sink)"",""fetch(apple)"",""check_then_act(sink,apple)"",""relocate(apple,bowl)""],""plan_length"":11}"
train,40,single_move_asset_to_target,"[""fetch(kettle)"",""relocate(kettle,kitchen work area)""]","[""fetch"",""relocate""]",5,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(kettle)"",""relocate(kettle,kitchen work area)""],""plan_length"":5}"
train,41,sequential_pick_two_and_place,"[""fetch(banana)"",""fetch(bread)"",""relocate(banana,plate)"",""relocate(bread,plate)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(banana)"",""fetch(bread)"",""relocate(banana,plate)"",""relocate(bread,plate)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,42,set_plate_and_fork_on_table,"[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",8,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Open""],[""Move"",""Move""],[""Place"",""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}"
train,43,wash_fruit_and_serve,"[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""]","[""fetch"",""relocate"",""state_change"",""fetch"",""check_then_act"",""relocate""]",11,1,"[[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""],[""Interact""],[""Move""],[""Reach""],[""Grasp""],[""Move""],[""Place""]]","{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}"
train,44,cut_fruit_on_board,"[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""]","[""fetch"",""fetch"",""relocate"",""state_change""]",6,1,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Reach""],[""Interact""]]","{""object_count"":1,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""relocate(peach,wooden cutting board)"",""state_change(interact,knife)""],""plan_length"":6}"
train,45,clear_table_with_two_robots_and_put_in_cabinet,"[""fetch(spoon)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",7,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Reach""],[""Open""],[""Place"",""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(spoon)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(spoon,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}"
train,46,parallel_human_dual_asset_to_plate_or_bowl,"[""fetch(tomato)"",""fetch(pear)"",""relocate(tomato,bowl)"",""relocate(pear,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",5,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(pear)"",""relocate(tomato,bowl)"",""relocate(pear,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}"
train,47,parallel_human_dual_asset_to_plate_or_bowl,"[""fetch(bread)"",""fetch(apple)"",""relocate(bread,plate)"",""relocate(apple,plate)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",5,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(apple)"",""relocate(bread,plate)"",""relocate(apple,plate)"",""multi_object_sequence(2)""],""plan_length"":5}"
train,48,cut_two_fruits_on_board,"[""fetch(knife)"",""fetch(pear)"",""fetch(bread)"",""relocate(pear,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""fetch"",""relocate"",""relocate"",""state_change"",""multi_object_sequence""]",9,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move""],[""Reach""],[""Grasp""],[""Move"",""Move""],[""Place""],[""Interact""]]","{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(pear)"",""fetch(bread)"",""relocate(pear,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}"
train,49,toast_bread_and_set_plate,"[""fetch(plate)"",""fetch(bread)"",""relocate(plate,kitchen island area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""state_change"",""multi_object_sequence""]",6,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""],[""Interact""]]","{""object_count"":2,""ordered_units"":[""fetch(plate)"",""fetch(bread)"",""relocate(plate,kitchen island area)"",""relocate(bread,toaster)"",""state_change(interact,toaster)"",""multi_object_sequence(2)""],""plan_length"":6}"
train,50,parallel_human_dual_asset_to_plate_or_bowl,"[""fetch(bread)"",""fetch(apple)"",""relocate(bread,bowl)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""relocate"",""relocate"",""multi_object_sequence""]",5,2,"[[""Move"",""Move""],[""Reach"",""Reach""],[""Grasp"",""Grasp""],[""Move"",""Move""],[""Place"",""Place""]]","{""object_count"":2,""ordered_units"":[""fetch(bread)"",""fetch(apple)"",""relocate(bread,bowl)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":5}"
train,51,dog_check_environment,"[""state_change(interact,oven)""]","[""state_change""]",2,0,"[[""Move""],[""Interact""]]","{""object_count"":0,""ordered_units"":[""state_change(interact,oven)""],""plan_length"":2}"
