index,ood_subset,routed_skill,retrieval_sim_max,retrieval_sim_mean,required_absent_assets,present_at_target_assets,baseline_grasps,memory_grasps,baseline_places,memory_places,uses_present_where_baseline_fetches,swaps_manipulated_object,omits_required_fetch,branch_decision,classification,injected_demo_ids,injected_branch_all_present,injected_branch_some_absent,injected_branch_not_applicable,demo_id,memory_action_distance,memory_grounded_distance,baseline_action_distance,baseline_grounded_distance,copies_demo_structure
296,plate_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
309,plate_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
377,plate_missing,single_move_asset_to_target,0.7081499695777893,0.6699793815612793,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,2781,228,225,6705]",0,5,0,225,0,5,0,5,False
381,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
406,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
425,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
438,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
447,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
477,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
486,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
499,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""plate""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,6,3,8,True
512,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
519,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
542,plate_missing,single_move_asset_to_target,0.7524831295013428,0.73103107213974,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,228,2781,1880,4735]",0,5,0,228,0,5,0,2,False
554,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
566,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
567,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
568,both_missing,ensure_all_fruits_on_table,0.5554057359695435,0.5518117308616638,"[""bowl"",""plate""]",[],"[""bowl"",""plate""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[73,2780,57,1222,1428]",0,5,0,57,0,3,3,6,True
589,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
602,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
606,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
647,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""plate""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,6,3,8,True
649,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""plate""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,6,3,8,True
656,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
665,plate_missing,single_move_asset_to_target,0.7524831295013428,0.73103107213974,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,228,2781,1880,4735]",0,5,0,228,0,5,0,2,False
674,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
725,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
726,plate_missing,ensure_all_fruits_on_table,0.4980379641056061,0.4952673017978668,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[202,3660,398,1287,855]",0,5,0,202,0,3,0,3,False
733,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
738,both_missing,ensure_all_fruits_on_table,0.5554057359695435,0.5518117308616638,"[""bowl"",""plate""]",[],"[""bowl"",""plate""]","[""plate""]","[""table""]","[""table""]",False,True,False,False,swaps_manipulated_object,"[73,2780,57,1222,1428]",0,5,0,57,0,3,3,6,True
780,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""plate""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,6,3,8,True
782,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
808,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
826,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
840,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
849,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
932,bowl_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""bowl""]","[""plate""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
934,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
942,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
947,plate_missing,single_move_asset_to_target,0.7524831295013428,0.73103107213974,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[3458,228,2781,1880,4735]",0,5,0,228,0,5,0,2,False
948,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
961,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
968,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
990,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1004,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
1025,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1030,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1040,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1055,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""plate""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,6,3,8,True
1066,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1082,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
1088,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""plate""]","[""table""]","[""kitchen island area""]",False,False,False,False,copies_injected_demo_structure,"[1571,3755,3365,1228,4735]",0,5,0,1571,0,0,0,2,True
1096,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1111,plate_missing,serve_bread_after_checking_cabinet,0.6213803291320801,0.6105820536613464,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2767,3266,143,2943,245]",0,5,0,143,3,8,3,8,False
1121,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1123,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""plate""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,6,3,8,True
1124,plate_missing,sequential_pick_two_and_place,0.5883311629295349,0.5829203724861145,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[2700,2742,3597,2873,3152]",0,5,0,2700,3,8,3,8,False
1126,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1130,plate_missing,single_move_asset_to_target,0.6041234731674194,0.5751652002334595,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1571,3755,3365,1228,4735]",0,5,0,1228,0,5,0,2,False
1164,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1165,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1176,plate_missing,sequential_pick_two_and_place,0.5971207618713379,0.5775422215461731,"[""plate""]","[""bowl""]","[""plate""]","[""bowl""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[583,2873,766,460,5685]",0,5,0,460,3,8,3,8,False
1179,bowl_missing,ensure_all_fruits_on_table,0.5903847217559814,0.5883797645568848,"[""bowl""]","[""plate""]","[""bowl""]","[""plate""]","[""table""]","[""table""]",True,True,True,True,uses_present_asset_where_baseline_fetches_absent,"[1428,2075,56,383,1401]",0,5,0,56,0,3,0,3,False
