split,index,source_task,analysis_skill,instruction,branch,conditions,absent_assets,unresolved_assets
train,11,serve_bread_from_counter,serve_bread_from_counter,"Transfer the banana to the plate. If you can't spot it, open the cabinet and retrieve it.",some_absent,"[{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""plate""}]","[""banana""]","[""cabinet"",""plate""]"
train,12,cut_fruit_on_board,cut_fruit_on_board,Cut the peach with the knife once everything is on the wooden cutting board.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""knife"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach"",""knife""]","[""wooden cutting board""]"
train,13,toast_bread_and_set_plate,toast_bread_and_set_plate,"Place the bread into the toaster, turn it on, and meanwhile set the plate onto the kitchen work area for the breakfast setup.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""bread"",""plate""]","[""toaster""]"
train,14,serve_bread_after_checking_cabinet,serve_bread_after_checking_cabinet,"Serve the banana on the plate. If you don't see it nearby, it might be inside the cabinet—have a look.",some_absent,"[{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""plate""}]","[""banana""]","[""cabinet"",""plate""]"
train,15,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Scan the table for any missing fruits—the peach or the banana. Place them on the table, checking cabinet if necessary.",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""cabinet"",""status"":""present_elsewhere"",""target"":""table""}]","[""peach"",""banana"",""cabinet""]",[]
train,16,dog_push_box_for_two_panda_transport,dog_push_box_for_two_panda_transport,"Get the pumpkin over to the sink. In case it’s too distant, put the pumpkin into a cardboardbox, shift the cardboardbox to the sink, and then retrieve the pumpkin.",some_absent,"[{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""sink""}]","[""pumpkin""]","[""cardboardbox"",""sink""]"
train,17,set_plate_and_fork_on_table,set_plate_and_fork_on_table,"Place the plate onto the kitchen work area to create space for serving, then gather the banana from the cabinet and deposit it into the plate.",some_absent,"[{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen work area""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""plate""}]","[""plate"",""banana""]","[""cabinet""]"
train,18,wash_fruit_and_serve,wash_fruit_and_serve,Rinse off the tomato at the sink and leave it in the bowl when finished.,some_absent,"[{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""tomato""]","[""bowl"",""sink""]"
train,19,single_move_asset_to_target,single_move_asset_to_target,Put the plate on the rack so it can be used later.,some_absent,"[{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""rack""}]","[""plate""]",[]
train,20,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Survey the table closely. Identify which fruit—the pear or the tomato—is absent, then bring it to the table from its current location, which may include cabinet.",some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""table""}]","[""pear"",""tomato""]","[""cabinet""]"
train,21,wash_fruit_and_serve,wash_fruit_and_serve,Make sure the apple is washed at the sink before resting it in the bowl.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""apple""]","[""bowl"",""sink""]"
train,22,single_move_asset_to_target,single_move_asset_to_target,Relocate the wine to the kitchen island area as instructed.,some_absent,"[{""asset"":""wine"",""status"":""present_elsewhere"",""target"":""kitchen island area""}]","[""wine""]",[]
train,23,single_move_asset_to_target,single_move_asset_to_target,Put the kettle on the kitchen island area so it can be used later.,some_absent,"[{""asset"":""kettle"",""status"":""present_elsewhere"",""target"":""kitchen island area""}]","[""kettle""]",[]
train,24,cut_fruit_on_board,cut_fruit_on_board,Position the peach on the wooden cutting board; slice it neatly with the knife.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach""]","[""knife"",""wooden cutting board""]"
train,25,wash_fruit_and_serve,wash_fruit_and_serve,Give the tomato a quick wash at the sink and place it inside the bowl.,some_absent,"[{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""tomato""]","[""bowl"",""sink""]"
train,26,cut_fruit_on_board,cut_fruit_on_board,"Set the peach on the wooden cutting board, then apply the knife to slice it.",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach""]","[""knife"",""wooden cutting board""]"
train,27,parallel_human_dual_asset_to_plate_or_bowl,parallel_human_dual_asset_to_plate_or_bowl,Transport the pumpkin and the tomato into the plate together.,some_absent,"[{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""plate""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""plate""}]","[""pumpkin"",""tomato""]","[""plate""]"
train,28,single_move_asset_to_target,single_move_asset_to_target,Pick up the pumpkin and place it on the kitchen island area to set things up.,some_absent,"[{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""kitchen island area""}]","[""pumpkin""]",[]
train,29,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Inspect the table visually. Ensure both the pear and the banana are present. If not, fetch and place the missing fruit, checking all areas including cabinet.",some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""table""}]","[""pear"",""banana""]","[""cabinet""]"
train,30,cut_fruit_on_board,cut_fruit_on_board,"Set the peach on the wooden cutting board, then apply the knife to slice it.",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach""]","[""knife"",""wooden cutting board""]"
train,31,sequential_pick_two_and_place,sequential_pick_two_and_place,I need the meat with the bread transferred to the plate pronto!,some_absent,"[{""asset"":""meat"",""status"":""present_elsewhere"",""target"":""plate""},{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""plate""}]","[""meat"",""bread""]","[""plate""]"
train,32,parallel_human_dual_asset_to_plate_or_bowl,parallel_human_dual_asset_to_plate_or_bowl,"Gather the pear and apple, and carefully place them into the bowl for organization.",some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""bowl""},{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""pear"",""apple""]","[""bowl""]"
train,33,single_move_asset_to_target,single_move_asset_to_target,Pick up the wine and place it on the rack to set things up.,some_absent,"[{""asset"":""wine"",""status"":""present_elsewhere"",""target"":""rack""}]","[""wine""]",[]
train,34,toast_bread_and_set_plate,toast_bread_and_set_plate,"Begin by inserting the bread into the toaster, switch it on, and at the same time place the bowl on the kitchen island area to organize the workspace.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""bowl"",""status"":""present_elsewhere"",""target"":""kitchen island area""}]","[""bread"",""bowl""]","[""toaster""]"
train,35,single_move_asset_to_target,single_move_asset_to_target,Move the pumpkin from its current location to the kitchen work area.,some_absent,"[{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""pumpkin""]",[]
train,36,wash_fruit_and_serve,wash_fruit_and_serve,Make sure the peach is washed at the sink before resting it in the bowl.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""peach""]","[""bowl"",""sink""]"
train,37,single_move_asset_to_target,single_move_asset_to_target,Please carefully place the pear onto the rack to continue the preparation.,some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""rack""}]","[""pear""]",[]
train,38,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Utilize your sensors to check the table. If either the pear or the tomato is missing, retrieve it from wherever it might be, including cabinet.",some_absent,"[{""asset"":""pear"",""status"":""present_at_target"",""target"":""table""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""table""}]","[""tomato""]","[""cabinet""]"
train,39,wash_fruit_and_serve,wash_fruit_and_serve,Wash off the apple at the sink and move it into the bowl.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""apple""]","[""bowl"",""sink""]"
train,40,single_move_asset_to_target,single_move_asset_to_target,Put the kettle on the kitchen work area so it can be used later.,some_absent,"[{""asset"":""kettle"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""kettle""]",[]
train,41,sequential_pick_two_and_place,sequential_pick_two_and_place,"Time to clear the counter: get banana and bread, put them in the plate.",some_absent,"[{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""plate""},{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""plate""}]","[""banana"",""bread""]","[""plate""]"
train,42,set_plate_and_fork_on_table,set_plate_and_fork_on_table,"Arrange the bowl on the kitchen work area, and afterwards, retrieve the tomato from the cabinet, placing it into the bowl to finalize the table setup.",some_absent,"[{""asset"":""bowl"",""status"":""present_elsewhere"",""target"":""kitchen work area""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""bowl"",""tomato""]","[""cabinet""]"
train,43,wash_fruit_and_serve,wash_fruit_and_serve,Make sure the peach is washed at the sink before resting it in the bowl.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""peach""]","[""bowl"",""sink""]"
train,44,cut_fruit_on_board,cut_fruit_on_board,Place the peach on the wooden cutting board and finish by cutting it with the knife.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach""]","[""knife"",""wooden cutting board""]"
train,45,clear_table_with_two_robots_and_put_in_cabinet,clear_table_with_two_robots_and_put_in_cabinet,"Collect the apple and spoon, and place them neatly into the cabinet to finish cleaning.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""cabinet""},{""asset"":""spoon"",""status"":""present_elsewhere"",""target"":""cabinet""}]","[""apple"",""spoon""]","[""cabinet""]"
train,46,parallel_human_dual_asset_to_plate_or_bowl,parallel_human_dual_asset_to_plate_or_bowl,Load the pear and tomato into the bowl simultaneously.,some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""bowl""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""pear"",""tomato""]","[""bowl""]"
train,47,parallel_human_dual_asset_to_plate_or_bowl,parallel_human_dual_asset_to_plate_or_bowl,Relocate the bread and apple side by side into the plate.,some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""plate""},{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""plate""}]","[""bread"",""apple""]","[""plate""]"
train,48,cut_two_fruits_on_board,cut_two_fruits_on_board,Slice the pear and bread on the wooden cutting board using the knife.,some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""pear"",""bread""]","[""knife"",""wooden cutting board""]"
train,49,toast_bread_and_set_plate,toast_bread_and_set_plate,"Begin by inserting the bread into the toaster, switch it on, and at the same time place the plate on the kitchen island area to organize the workspace.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen island area""}]","[""bread"",""plate""]","[""toaster""]"
train,50,parallel_human_dual_asset_to_plate_or_bowl,parallel_human_dual_asset_to_plate_or_bowl,Move both the bread and the apple into the bowl to prepare for serving.,some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""bowl""},{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""bread"",""apple""]","[""bowl""]"
train,51,dog_check_environment,dog_check_environment,Observe the space around oven.,not_applicable,[],[],"[""oven""]"
train,52,cut_fruit_on_board,cut_fruit_on_board,Get the apple to the wooden cutting board and give it a clean cut with the knife.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""apple""]","[""knife"",""wooden cutting board""]"
train,53,toast_bread_and_set_plate,toast_bread_and_set_plate,"Begin by inserting the bread into the toaster, switch it on, and at the same time place the plate on the kitchen work area to organize the workspace.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""bread"",""plate""]","[""toaster""]"
train,54,set_plate_and_fork_on_table,set_plate_and_fork_on_table,"Place the bowl onto the kitchen work area to create space for serving, then gather the tomato from the cabinet and deposit it into the bowl.",some_absent,"[{""asset"":""bowl"",""status"":""present_elsewhere"",""target"":""kitchen work area""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""bowl"",""tomato""]","[""cabinet""]"
train,55,single_move_asset_to_target,single_move_asset_to_target,Transfer the wine over to the kitchen island area and ensure it is positioned correctly.,some_absent,"[{""asset"":""wine"",""status"":""present_elsewhere"",""target"":""kitchen island area""}]","[""wine""]",[]
train,56,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Examine the table closely. If either the apple or the banana is not present, retrieve it from its current location, including cabinet, and place it on the table.",some_absent,"[{""asset"":""apple"",""status"":""present_at_target"",""target"":""table""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""table""}]","[""banana""]","[""cabinet""]"
train,57,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Survey the table closely. Identify which fruit—the apple or the banana—is absent, then bring it to the table from its current location, which may include cabinet.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""banana"",""status"":""present_at_target"",""target"":""table""}]","[""apple""]","[""cabinet""]"
train,58,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Glance at the table to confirm both a pear and a banana are present. If not, retrieve the missing fruit, ensuring to check all possible locations, including cabinet.",some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""table""}]","[""pear"",""banana""]","[""cabinet""]"
train,59,clear_table_with_two_robots_and_put_in_cabinet,clear_table_with_two_robots_and_put_in_cabinet,Move the apple and the spoon together into the cabinet to keep the workspace organized.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""cabinet""},{""asset"":""spoon"",""status"":""present_elsewhere"",""target"":""cabinet""}]","[""apple"",""spoon""]","[""cabinet""]"
train,60,parallel_human_dual_asset_to_plate_or_bowl,parallel_human_dual_asset_to_plate_or_bowl,Transport the meat and the tomato into the bowl together.,some_absent,"[{""asset"":""meat"",""status"":""present_elsewhere"",""target"":""bowl""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""meat"",""tomato""]","[""bowl""]"
train,61,cut_two_fruits_on_board,cut_two_fruits_on_board,"Let’s tidy the board: deliver the pear plus the banana, then carve away with the knife.",some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""pear"",""banana""]","[""knife"",""wooden cutting board""]"
train,62,clear_table_with_two_robots_and_put_in_cabinet,clear_table_with_two_robots_and_put_in_cabinet,Ensure that both the tomato and knife are placed into the cabinet to maintain order in the workspace.,some_absent,"[{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""cabinet""},{""asset"":""knife"",""status"":""present_elsewhere"",""target"":""cabinet""}]","[""tomato"",""knife""]","[""cabinet""]"
train,63,wash_fruit_and_serve,wash_fruit_and_serve,"Run water over the tomato at the sink, then arrange it neatly in the plate.",some_absent,"[{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""plate""}]","[""tomato""]","[""plate"",""sink""]"
train,64,wash_fruit_and_serve,wash_fruit_and_serve,"Run water over the apple at the sink, then arrange it neatly in the bowl.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""apple""]","[""bowl"",""sink""]"
train,65,cut_two_fruits_on_board,cut_two_fruits_on_board,"Quick, give both the peach and banana a good chop on the wooden cutting board with that knife!",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach"",""banana""]","[""knife"",""wooden cutting board""]"
train,66,wash_fruit_and_serve,wash_fruit_and_serve,Rinse the tomato in sink and set it into the plate for serving.,some_absent,"[{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""plate""}]","[""tomato""]","[""plate"",""sink""]"
train,67,toast_bread_and_set_plate,toast_bread_and_set_plate,"Insert the bread into the toaster, activate it to start the process, and place the plate on the kitchen work area to prepare for serving.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""bread"",""plate""]","[""toaster""]"
train,68,clear_table_with_two_robots_and_put_in_cabinet,clear_table_with_two_robots_and_put_in_cabinet,Pick up the apple and knife and carefully deposit them into the cabinet for cleanup.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""cabinet""},{""asset"":""knife"",""status"":""present_elsewhere"",""target"":""cabinet""}]","[""apple"",""knife""]","[""cabinet""]"
train,69,single_move_asset_to_target,single_move_asset_to_target,Ensure that the cooling fan is moved properly onto the kitchen work area for the next operation.,some_absent,"[{""asset"":""cooling fan"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""cooling fan""]",[]
train,70,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Inspect the table thoroughly. If you find that both a apple and a banana are missing, fetch the absent fruit from wherever it may be, including cabinet.",some_absent,"[{""asset"":""apple"",""status"":""present_at_target"",""target"":""table""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""table""}]","[""banana""]","[""cabinet""]"
train,71,cut_two_fruits_on_board,cut_two_fruits_on_board,Kindly arrange the apple and banana on the wooden cutting board; the knife will handle the rest.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""apple"",""banana""]","[""knife"",""wooden cutting board""]"
train,72,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Observe the table for both the apple and tomato. If one is missing, bring it along from any location, such as cabinet.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""tomato"",""status"":""present_at_target"",""target"":""table""}]","[""apple""]","[""cabinet""]"
train,73,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Survey the table closely. Identify which fruit—the pear or the banana—is absent, then bring it to the table from its current location, which may include cabinet.",some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""banana"",""status"":""present_at_target"",""target"":""table""}]","[""pear""]","[""cabinet""]"
train,74,cut_fruit_on_board,cut_fruit_on_board,Position the peach on the wooden cutting board; slice it neatly with the knife.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach""]","[""knife"",""wooden cutting board""]"
train,75,cut_two_fruits_on_board,cut_two_fruits_on_board,"All right, partner: line up the peach and tomato on the wooden cutting board for a tidy cut using the knife.",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach"",""tomato""]","[""knife"",""wooden cutting board""]"
train,76,wash_fruit_and_serve,wash_fruit_and_serve,"Freshen the apple under the tap on sink, then drop it in the plate.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""plate""}]","[""apple""]","[""plate"",""sink""]"
train,77,wash_fruit_and_serve,wash_fruit_and_serve,Make sure the banana is washed at the sink before resting it in the bowl.,some_absent,"[{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""banana""]","[""bowl"",""sink""]"
train,78,toast_bread_and_set_plate,toast_bread_and_set_plate,"Insert the bread into the toaster, activate it to start the process, and place the plate on the kitchen work area to prepare for serving.",some_absent,"[{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""toaster""},{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""bread"",""plate""]","[""toaster""]"
train,79,sequential_pick_two_and_place,sequential_pick_two_and_place,I need the tomato with the green peas transferred to the bowl pronto!,some_absent,"[{""asset"":""tomato"",""status"":""present_elsewhere"",""target"":""bowl""},{""asset"":""green peas"",""status"":""present_elsewhere"",""target"":""bowl""}]","[""tomato"",""green peas""]","[""bowl""]"
train,80,sequential_pick_two_and_place,sequential_pick_two_and_place,Could you place the apple along with the bread inside the plate?,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""plate""},{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""plate""}]","[""apple"",""bread""]","[""plate""]"
train,81,cut_fruit_on_board,cut_fruit_on_board,Place the pear on the wooden cutting board and finish by cutting it with the knife.,some_absent,"[{""asset"":""pear"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""pear""]","[""knife"",""wooden cutting board""]"
train,82,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Scan the table for any missing fruits—the peach or the tomato. Place them on the table, checking cabinet if necessary.",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""tomato"",""status"":""present_at_target"",""target"":""table""},{""asset"":""cabinet"",""status"":""absent_from_scene"",""target"":""table""}]","[""peach"",""cabinet""]",[]
train,83,clear_table_with_two_robots_and_put_in_cabinet,clear_table_with_two_robots_and_put_in_cabinet,Carefully place both the peach and the knife into the cabinet to tidy up the area.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""cabinet""},{""asset"":""knife"",""status"":""present_elsewhere"",""target"":""cabinet""}]","[""peach"",""knife""]","[""cabinet""]"
train,84,serve_bread_from_counter,serve_bread_from_counter,"Move the apple to the plate. In case it's not visible, you may need to inspect the cabinet.",some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""plate""}]","[""apple""]","[""cabinet"",""plate""]"
train,85,single_move_asset_to_target,single_move_asset_to_target,Move the peach from its current location to the kitchen work area.,some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""kitchen work area""}]","[""peach""]",[]
train,86,dog_push_box_for_two_panda_transport,dog_push_box_for_two_panda_transport,"Take the fork to the sink. If it’s too far to move it conveniently, first secure it inside a cardboardbox, move the cardboardbox, and fetch the fork afterward.",some_absent,"[{""asset"":""fork"",""status"":""present_elsewhere"",""target"":""cardboardbox""}]","[""fork""]","[""cardboardbox"",""sink""]"
train,87,set_plate_and_fork_on_table,set_plate_and_fork_on_table,"Put the plate on the kitchen work area as the base, then collect the bread from the cabinet and place it into the plate to get ready for a meal.",some_absent,"[{""asset"":""plate"",""status"":""present_elsewhere"",""target"":""kitchen work area""},{""asset"":""bread"",""status"":""present_elsewhere"",""target"":""plate""}]","[""plate"",""bread""]","[""cabinet""]"
train,88,dog_push_box_for_two_panda_transport,dog_push_box_for_two_panda_transport,"Move the pumpkin to the sink. If the destination is too far, use the cardboardbox to house the pumpkin, transport the cardboardbox and fetch the pumpkin.",some_absent,"[{""asset"":""pumpkin"",""status"":""present_elsewhere"",""target"":""sink""}]","[""pumpkin""]","[""cardboardbox"",""sink""]"
train,89,cut_fruit_on_board,cut_fruit_on_board,Position the apple on the wooden cutting board; slice it neatly with the knife.,some_absent,"[{""asset"":""apple"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""apple""]","[""knife"",""wooden cutting board""]"
train,90,ensure_all_fruits_on_table,ensure_all_fruits_on_table,"Scan the table for any missing fruits—the pear or the banana. Place them on the table, checking cabinet if necessary.",some_absent,"[{""asset"":""pear"",""status"":""present_at_target"",""target"":""table""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""table""},{""asset"":""cabinet"",""status"":""absent_from_scene"",""target"":""table""}]","[""banana"",""cabinet""]",[]
train,91,cut_two_fruits_on_board,cut_two_fruits_on_board,"Here’s the plan—stack the peach and banana on the wooden cutting board, then give them a brisk chop with the knife.",some_absent,"[{""asset"":""peach"",""status"":""present_elsewhere"",""target"":""wooden cutting board""},{""asset"":""banana"",""status"":""present_elsewhere"",""target"":""wooden cutting board""}]","[""peach"",""banana""]","[""knife"",""wooden cutting board""]"
