index,subgoal_position,predicted_subgoal,predicted_primitive_kind,matched_skill_name,injected_instance_ids,injected_unit_kinds,retrieval_hit,channel
7,3,place_bowl_on_table,relocate,place_on_table,[],[],False,ood
7,4,place_plate_on_table,relocate,place_on_plate,[],[],False,ood
8,0,observe_table_for_bowl_0,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
8,1,observe_table_for_plate_0,,inspect_table,"[""3510:0"",""3156:1""]","[""fetch"",""open_container_then_retrieve"",""relocate"",""state_change""]",,ood
8,2,bring_along_undetected_bowl_or_plate,relocate,place_on_plate,"[""5169:2""]","[""relocate""]",True,ood
9,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
9,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""2501:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
9,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
10,0,survey_table,state_change,survey_table,"[""1173:0"",""2647:0""]","[""fetch"",""state_change""]",True,ood
10,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
10,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
11,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
11,1,confirm_bowl_and_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
11,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
12,0,survey_table,state_change,survey_table,"[""1173:0"",""2647:0""]","[""fetch"",""state_change""]",True,ood
12,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
12,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
13,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
13,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
13,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
14,0,observe_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
14,1,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
14,2,decide_missing_object,,inspect_object,"[""6838:1"",""1367:1""]","[""state_change""]",,ood
14,3,fetch_missing_object,fetch,fetch_object,"[""6411:0""]","[""fetch""]",True,ood
15,0,survey_table,state_change,survey_table,"[""1173:0"",""2647:0""]","[""fetch"",""state_change""]",True,ood
15,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
15,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
16,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1502:0"",""1663:0""]","[""fetch"",""state_change""]",True,ood
16,1,if_bowl_missing_get_bowl,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
16,2,if_plate_missing_get_plate,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
16,3,place_missing_dish_on_table,relocate,place_plate_on_kitchen_island,[],[],False,ood
17,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
17,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""2501:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
17,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
18,0,examine_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
18,1,find_single_dish,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
18,2,supply_missing_dish,,fetch_bowl,"[""2686:0""]","[""fetch"",""state_change""]",,ood
18,3,position_both_dishes,,place_plate_on_kitchen_island,"[""1484:1""]","[""relocate""]",,ood
19,0,examine_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
19,1,find_single_dish,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
19,2,supply_missing_dish,,fetch_bowl,"[""2686:0""]","[""fetch"",""state_change""]",,ood
20,0,examine_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
20,1,find_single_dish,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
20,2,supply_other_dish,,place_on_plate,"[""5169:2""]","[""relocate""]",,ood
20,3,position_both_dishes,,place_plate_on_kitchen_island,"[""1484:1""]","[""relocate""]",,ood
21,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
21,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
21,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
22,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
22,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
22,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
23,0,observe_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
23,1,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
23,2,decide_missing_object,,inspect_object,"[""6838:1"",""1367:1""]","[""state_change""]",,ood
23,3,fetch_missing_object,fetch,fetch_object,"[""6411:0""]","[""fetch""]",True,ood
24,0,scan_table,,scan_table,"[""5235:0"",""1209:0""]","[""fetch"",""state_change""]",,ood
24,1,check_bowl_presence,state_change,place_bowl,"[""3697:1"",""6464:1""]","[""multi_object_sequence"",""relocate""]",False,ood
24,2,check_plate_presence,state_change,place_plate,"[""3266:2"",""5679:2""]","[""relocate""]",False,ood
24,3,place_bowl_if_needed,relocate,place_bowl,[],[],False,ood
24,4,place_plate_if_needed,relocate,place_plate,[],[],False,ood
25,0,find_non_resting_bowl_or_plate,fetch,place_bowl,"[""4764:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,ood
25,1,move_to_non_resting_bowl_or_plate,,place_on_plate,"[""5169:2""]","[""relocate""]",,ood
25,2,pick_non_resting_bowl_or_plate,fetch,place_on_plate,[],[],False,ood
25,3,move_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
25,4,place_bowl_or_plate_on_table,relocate,place_plate_on_kitchen_island,"[""1484:1""]","[""relocate""]",True,ood
26,0,scan_table,,scan_table,"[""5235:0"",""1209:0""]","[""fetch"",""state_change""]",,ood
26,1,check_bowl_presence,state_change,place_bowl,"[""3697:1"",""6464:1""]","[""multi_object_sequence"",""relocate""]",False,ood
26,2,check_plate_presence,state_change,place_plate,"[""3266:2"",""5679:2""]","[""relocate""]",False,ood
26,3,place_bowl_if_needed,relocate,place_bowl,[],[],False,ood
26,4,place_plate_if_needed,relocate,place_plate,[],[],False,ood
27,0,observe_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
27,1,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
27,2,decide_missing_object,,inspect_object,"[""6838:1"",""1367:1""]","[""state_change""]",,ood
27,3,fetch_missing_object,fetch,fetch_object,"[""6411:0""]","[""fetch""]",True,ood
28,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
28,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
28,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
29,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1502:0"",""1663:0""]","[""fetch"",""state_change""]",True,ood
29,1,if_bowl_missing_get_bowl,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
29,2,if_plate_missing_get_plate,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
29,3,place_missing_dish_on_table,relocate,place_plate_on_kitchen_island,[],[],False,ood
30,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
30,1,confirm_bowl_and_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
30,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
31,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
31,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
31,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
32,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
32,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
32,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
33,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1039:0"",""1737:0""]","[""fetch"",""state_change""]",True,ood
33,1,check_if_bowl_is_missing,state_change,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
33,2,check_if_plate_is_missing,state_change,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",True,ood
33,3,deliver_missing_bowl,relocate,fetch_bowl,[],[],False,ood
33,4,deliver_missing_plate,relocate,place_plate,[],[],False,ood
34,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
34,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
34,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
35,0,check_table_for_bowl_0,state_change,check_table,"[""1039:0"",""1737:0""]","[""fetch"",""state_change""]",True,ood
35,1,check_table_for_plate_0,state_change,check_table,"[""2239:0"",""6057:0""]","[""fetch"",""state_change""]",True,ood
35,2,deliver_bowl_0_if_missing,relocate,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",False,ood
35,3,deliver_plate_0_if_missing,relocate,place_plate,[],[],False,ood
36,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1502:0"",""1663:0""]","[""fetch"",""state_change""]",True,ood
36,1,if_bowl_missing_get_bowl,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
36,2,if_plate_missing_get_plate,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
36,3,place_missing_dish_on_table,relocate,place_plate_on_kitchen_island,[],[],False,ood
37,0,look_over_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
37,1,check_bowl_0_location,state_change,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",False,ood
37,2,check_plate_0_location,state_change,place_plate,"[""1379:0"",""4075:0""]","[""fetch"",""state_change""]",True,ood
37,3,get_missing_item,fetch,fetch_missing_fruit,[],[],False,ood
37,4,place_item_on_table,relocate,place_on_table,[],[],False,ood
38,0,examine_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
38,1,find_single_dish,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
38,2,supply_missing_dish,,fetch_bowl,"[""2686:0""]","[""fetch"",""state_change""]",,ood
39,0,scan_table,,scan_table,"[""5235:0"",""1209:0""]","[""fetch"",""state_change""]",,ood
39,1,check_for_bowl,state_change,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
39,2,check_for_plate,state_change,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",True,ood
39,3,place_bowl_on_table,relocate,place_on_table,[],[],False,ood
39,4,place_plate_on_table,relocate,place_on_plate,[],[],False,ood
40,0,scan_table,,scan_table,"[""5235:0"",""1209:0""]","[""fetch"",""state_change""]",,ood
40,1,check_for_bowl,state_change,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
40,2,check_for_plate,state_change,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",True,ood
40,3,place_bowl_on_table,relocate,place_on_table,[],[],False,ood
40,4,place_plate_on_table,relocate,place_on_plate,[],[],False,ood
41,0,inspect_kitchen_work_area,state_change,inspect_cabinet,"[""144:0"",""1774:0""]","[""state_change""]",True,ood
41,1,fetch_bowl_1,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
41,2,place_bowl_1_on_table,relocate,place_bowl,"[""4764:1"",""3697:1""]","[""multi_object_sequence"",""relocate""]",True,ood
41,3,fetch_plate_0,fetch,place_plate,[],[],False,ood
41,4,place_plate_0_on_table,relocate,place_on_plate,[],[],False,ood
42,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
42,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
42,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
43,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
43,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
43,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
44,0,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
44,1,detect_bowl,,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",,ood
44,2,detect_plate,,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",,ood
44,3,choose_missing_item,,fetch_missing_fruit,"[""1207:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
44,4,move_to_kitchen_work_area,,move_to_cabinet,[],[],,ood
44,5,pick_missing_item,fetch,fetch_missing_fruit,[],[],False,ood
45,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
45,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
45,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
46,0,look_for_bowl_0_on_table,,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",,ood
46,1,look_for_plate_0_on_table,,place_on_plate,"[""5169:2""]","[""relocate""]",,ood
46,2,retrieve_bowl_0_if_missing,fetch,fetch_bowl,"[""2686:0""]","[""fetch"",""state_change""]",True,ood
46,3,retrieve_plate_0_if_missing,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
46,4,place_bowl_0_on_table_if_missing,relocate,place_bowl,[],[],False,ood
46,5,place_plate_0_on_table_if_missing,relocate,place_on_plate,[],[],False,ood
47,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
47,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
47,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
48,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1039:0"",""1737:0""]","[""fetch"",""state_change""]",True,ood
48,1,check_if_bowl_is_missing,state_change,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
48,2,check_if_plate_is_missing,state_change,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",True,ood
48,3,deliver_missing_bowl,relocate,fetch_bowl,[],[],False,ood
48,4,deliver_missing_plate,relocate,place_plate,[],[],False,ood
49,0,check_table_for_bowl_and_plate,state_change,check_table,"[""1502:0"",""1663:0""]","[""fetch"",""state_change""]",True,ood
49,1,if_bowl_missing_get_bowl,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
49,2,if_plate_missing_get_plate,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
49,3,place_missing_dish_on_table,relocate,place_plate_on_kitchen_island,[],[],False,ood
50,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
50,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
50,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
51,0,inspect_table,state_change,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",True,ood
51,1,fetch_hidden_dish,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
51,2,place_dish_on_table,relocate,place_on_table,"[""3156:2"",""3173:2""]","[""multi_object_sequence"",""relocate""]",True,ood
52,0,scan_kitchen_work_area,,scan_table,"[""5235:0"",""1209:0""]","[""fetch"",""state_change""]",,ood
52,1,check_for_bowl_0,state_change,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,ood
52,2,check_for_plate_0,state_change,place_plate,"[""3266:2"",""5679:2""]","[""relocate""]",False,ood
52,3,place_bowl_0_if_missing,relocate,place_bowl,[],[],False,ood
52,4,place_plate_0_if_missing,relocate,place_plate,[],[],False,ood
53,0,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
53,1,detect_bowl,,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",,ood
53,2,detect_plate,,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",,ood
53,3,choose_missing_item,,fetch_missing_fruit,"[""1207:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
53,4,move_to_kitchen_work_area,,move_to_cabinet,[],[],,ood
53,5,pick_missing_item,fetch,fetch_missing_fruit,[],[],False,ood
54,0,check_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
54,1,check_for_bowl,state_change,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
54,2,check_for_plate,state_change,set_plate,"[""7118:0"",""911:0""]","[""fetch"",""state_change""]",True,ood
54,3,deliver_missing_bowl,relocate,fetch_bowl,"[""4764:0""]","[""fetch"",""state_change""]",False,ood
54,4,deliver_missing_plate,relocate,place_plate,[],[],False,ood
55,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
55,1,confirm_bowl_and_plate,,place_bowl,"[""1488:2"",""2686:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
55,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
56,0,find_non_resting_bowl_or_plate,fetch,place_bowl,"[""4764:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,ood
56,1,move_to_non_resting_bowl_or_plate,,place_on_plate,"[""5169:2""]","[""relocate""]",,ood
56,2,pick_non_resting_bowl_or_plate,fetch,place_on_plate,[],[],False,ood
56,3,move_to_kitchen_work_area,,move_to_cabinet,"[""3800:0"",""2775:1""]","[""fetch"",""state_change""]",,ood
56,4,place_bowl_or_plate_on_kitchen_work_area,relocate,place_plate_on_kitchen_island,"[""1484:1""]","[""relocate""]",True,ood
57,0,look_for_bowl_0_on_table,,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",,ood
57,1,look_for_plate_0_on_table,,place_on_plate,"[""5169:2""]","[""relocate""]",,ood
57,2,retrieve_bowl_0_if_missing,fetch,fetch_bowl,"[""2686:0""]","[""fetch"",""state_change""]",True,ood
57,3,retrieve_plate_0_if_missing,fetch,set_plate,"[""5528:0"",""2966:0""]","[""fetch"",""state_change""]",True,ood
57,4,place_bowl_0_on_table_if_missing,relocate,place_bowl,[],[],False,ood
57,5,place_plate_0_on_table_if_missing,relocate,place_on_plate,[],[],False,ood
58,0,observe_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
58,1,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
58,2,decide_missing_object,,inspect_object,"[""6838:1"",""1367:1""]","[""state_change""]",,ood
58,3,fetch_missing_object,fetch,fetch_object,"[""6411:0""]","[""fetch""]",True,ood
59,0,glance_at_table,,inspect_table,"[""1633:0"",""2098:0""]","[""fetch"",""state_change""]",,ood
59,1,confirm_one_bowl_and_one_plate,,place_bowl,"[""2501:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",,ood
59,2,fetch_absent_dish,fetch,fetch_bowl,"[""1488:0"",""2686:0""]","[""fetch"",""state_change""]",True,ood
60,0,survey_kitchen_work_area,state_change,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",True,ood
60,1,identify_missing_item,,fetch_missing_fruit,"[""1207:1"",""2444:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",,ood
60,2,carry_missing_item_to_table,,move_to_table,"[""1210:1"",""2918:1""]","[""relocate""]",,ood
61,0,look_at_table,,inspect_table,"[""1700:0"",""1958:0""]","[""fetch"",""state_change""]",,ood
61,1,verify_bowl_0_on_table,,check_table,"[""1039:0"",""1737:0""]","[""fetch"",""state_change""]",,ood
61,2,verify_plate_0_on_table,,check_table,"[""2239:0"",""6057:0""]","[""fetch"",""state_change""]",,ood
61,3,go_to_kitchen_work_area,,navigate_to_kitchen_island,[],[],,ood
61,4,retrieve_plate_0,fetch,set_plate,[],[],False,ood
61,5,place_plate_0_on_table,relocate,place_on_plate,[],[],False,ood
62,0,observe_kitchen_work_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,ood
