index,ood_subset,baseline_success,memory_success,baseline_failure_reason,memory_failure_reason,baseline_official_error_code,memory_official_error_code,baseline_simulator_success,memory_simulator_success,baseline_length_bound_violation,memory_length_bound_violation,plan_len_baseline,plan_len_memory,plan_len_delta,reference_len,baseline_illegal_actions,baseline_ungrounded_targets,baseline_static_invalid,memory_illegal_actions,memory_ungrounded_targets,memory_static_invalid,injected_demo_ids,demo_absent_entities,demo_anchoring_fraction,primary_category
519,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
542,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,228,2781,1880,4735]",{},0.0,legal_but_wrong
554,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
566,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
567,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
568,both_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,8,5,-3,8,[],[],False,[],[],False,"[73,2780,57,1222,1428]","{""57"":[""apple""],""73"":[""pear""],""1222"":[""banana""],""1428"":[""apple""],""2780"":[""banana""]}",1.0,legal_but_wrong
589,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
602,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
606,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
647,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
649,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
656,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
665,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,228,2781,1880,4735]",{},0.0,legal_but_wrong
674,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
725,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
726,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[202,3660,398,1287,855]","{""202"":[""banana""],""398"":[""pear""],""855"":[""apple""],""1287"":[""banana""],""3660"":[""pear""]}",1.0,legal_but_wrong
733,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
738,both_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,8,5,-3,8,[],[],False,[],[],False,"[73,2780,57,1222,1428]","{""57"":[""apple""],""73"":[""pear""],""1222"":[""banana""],""1428"":[""apple""],""2780"":[""banana""]}",1.0,legal_but_wrong
780,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
782,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
808,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
826,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
840,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
844,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
849,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
874,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
932,bowl_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
934,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
942,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
947,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,228,2781,1880,4735]",{},0.0,legal_but_wrong
948,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
961,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
968,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
977,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,5,0,5,[],[],False,[],"[""banana""]",True,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,absent_object_reference
990,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
1004,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
1025,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
1030,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
1040,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1055,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1060,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
1066,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
1082,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
1088,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
1096,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1111,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,legal_but_wrong
1121,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1123,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1124,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,legal_but_wrong
1126,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1130,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,legal_but_wrong
1162,plate_missing,True,False,success,ungrounded_entity,,NOT_FOUND_ENTITY,True,False,False,False,5,8,3,5,[],[],False,[],"[""cabinet""]",True,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,absent_object_reference
1164,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1165,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1176,plate_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,legal_but_wrong
1179,bowl_missing,True,False,success,goal_miss,,FAILED_GOAL_CONSTRAINT,True,False,False,False,5,5,0,5,[],[],False,[],[],False,"[1428,2075,56,383,1401]","{""56"":[""banana""],""383"":[""apple""],""1401"":[""pear""],""1428"":[""apple""],""2075"":[""tomato""]}",1.0,legal_but_wrong
